exp_id,n_subjects,pearson_r,pearson_p,spearman_r,spearman_p,proximal_mean_f,distal_mean_f,proximity_gap,t_stat,t_p
E01,57,0.06451249926767283,0.6335292873576474,0.03902122834653485,0.7732037943085357,0.1624421052631579,0.14371052631578948,0.018731578947368405,0.8918379732211,0.37840228712140533
E02,57,-0.03635425948259544,0.7883324634346502,-0.17307598870565802,0.19792449637155696,0.35074210526315797,0.3691315789473685,-0.01838947368421051,-0.5218985304024056,0.604937548252213
E03,57,0.0354621755473506,0.7934105888912679,-0.05324820535125718,0.6940329735132197,0.5552526315789474,0.5571157894736842,-0.0018631578947367888,-0.03946295880132227,0.968739327335983
E04,57,0.045303749660459164,0.7379041915107298,-0.04673321234119783,0.7299440557293548,0.5617421052631579,0.5590578947368421,0.0026842105263158444,0.056363712758994114,0.9553637368895079
E06,57,-0.002396428294784495,0.9858847083148656,-0.15083454877472852,0.2627270384677572,0.4435421052631579,0.4525421052631579,-0.009000000000000008,-0.22375405430864956,0.8242136415777299
E07,57,-0.010271324980112807,0.9395537544871778,-0.1596253266620535,0.23559523895642542,0.45539999999999997,0.46670526315789485,-0.011305263157894874,-0.27667804469783075,0.7836097237246847
E08,57,0.07942453497949782,0.557011471271065,-0.040123156721769214,0.766977017366457,0.41735263157894736,0.4039473684210526,0.013405263157894753,0.37451901230169526,0.7102153684068864
E09,57,0.06075722415311963,0.653460745585694,-0.026348625045996405,0.8457418737365522,0.1769157894736842,0.17666315789473686,0.0002526315789473377,0.011911049637126596,0.9905623472176729
E10,57,0.16038989724927977,0.2333302074046445,0.0915941468318707,0.4980083382753341,0.14494736842105263,0.12564736842105262,0.01930000000000001,0.8888990159376425,0.3799586508093201
E11,57,0.1723127167632144,0.199939954935583,0.15715443210327862,0.24301849928723945,0.0715736842105263,0.05241052631578947,0.019163157894736833,1.1896264042300893,0.24198022636764954
