eid,seed,rtype,rsize,subject,medical,forgetting
E09_s0,0,real,50,international_law,False,-0.03305785123966942
E09_s0,0,real,50,jurisprudence,False,-0.01851851851851849
E09_s0,0,real,50,logical_fallacies,False,-0.036809815950920255
E09_s0,0,real,50,machine_learning,False,-0.0267857142857143
E09_s0,0,real,50,management,False,0.009708737864077666
E09_s0,0,real,50,marketing,False,-0.017094017094017033
E09_s0,0,real,50,medical_genetics,True,0.0
E09_s0,0,real,50,miscellaneous,False,-0.025542784163473775
E09_s0,0,real,50,moral_disputes,False,0.0028901734104045396
E09_s0,0,real,50,moral_scenarios,False,-0.3307262569832402
E09_s0,0,real,50,nutrition,False,-0.013071895424836555
E09_s0,0,real,50,philosophy,False,-0.05144694533762062
E09_s0,0,real,50,prehistory,False,-0.024691358024691357
E09_s0,0,real,50,professional_accounting,False,-0.014184397163120588
E09_s0,0,real,50,professional_law,False,-0.08148631029986964
E09_s0,0,real,50,professional_medicine,True,0.007352941176470673
E09_s0,0,real,50,professional_psychology,False,-0.02450980392156865
E09_s0,0,real,50,public_relations,False,-0.018181818181818188
E09_s0,0,real,50,security_studies,False,-0.19183673469387752
E09_s0,0,real,50,sociology,False,-0.014925373134328401
E09_s0,0,real,50,us_foreign_policy,False,0.0
E09_s0,0,real,50,virology,True,-0.030120481927710885
E09_s0,0,real,50,world_religions,False,-0.01754385964912286
E10_s0,0,real,100,abstract_algebra,False,-0.10999999999999999
E10_s0,0,real,100,anatomy,True,0.0
E10_s0,0,real,100,astronomy,False,-0.019736842105263164
E10_s0,0,real,100,business_ethics,False,-0.010000000000000009
E10_s0,0,real,100,clinical_knowledge,True,-0.0037735849056603765
E10_s0,0,real,100,college_biology,True,-0.00694444444444442
E10_s0,0,real,100,college_chemistry,False,-0.07000000000000006
E10_s0,0,real,100,college_computer_science,False,-0.040000000000000036
E10_s0,0,real,100,college_mathematics,False,-0.030000000000000027
E10_s0,0,real,100,college_medicine,True,-0.017341040462427793
E10_s0,0,real,100,college_physics,False,0.0
E10_s0,0,real,100,computer_security,False,0.0
E10_s0,0,real,100,conceptual_physics,False,-0.025531914893617058
E10_s0,0,real,100,econometrics,False,-0.07017543859649122
E10_s0,0,real,100,electrical_engineering,False,-0.006896551724137945
E10_s0,0,real,100,elementary_mathematics,False,-0.03968253968253965
E10_s0,0,real,100,formal_logic,False,0.015873015873015817
E10_s0,0,real,100,global_facts,False,-0.010000000000000009
E10_s0,0,real,100,high_school_biology,False,0.00967741935483879
E10_s0,0,real,100,high_school_chemistry,False,0.009852216748768461
E10_s0,0,real,100,high_school_computer_science,False,-0.040000000000000036
E10_s0,0,real,100,high_school_european_history,False,-0.37575757575757573
E10_s0,0,real,100,high_school_geography,False,0.005050505050504972
E10_s0,0,real,100,high_school_government_and_politics,False,-0.015544041450777146
E10_s0,0,real,100,high_school_macroeconomics,False,-0.0641025641025641
E10_s0,0,real,100,high_school_mathematics,False,-0.025925925925925908
E10_s0,0,real,100,high_school_microeconomics,False,-0.008403361344537785
E10_s0,0,real,100,high_school_physics,False,-0.06622516556291391
E10_s0,0,real,100,high_school_psychology,False,-0.003669724770642202
E10_s0,0,real,100,high_school_statistics,False,-0.02777777777777779
E10_s0,0,real,100,high_school_us_history,False,-0.25
E10_s0,0,real,100,high_school_world_history,False,-0.32489451476793246
E10_s0,0,real,100,human_aging,True,-0.004484304932735439
E10_s0,0,real,100,human_sexuality,True,-0.01526717557251911
E10_s0,0,real,100,international_law,False,-0.03305785123966942
E10_s0,0,real,100,jurisprudence,False,0.00925925925925919
E10_s0,0,real,100,logical_fallacies,False,-0.030674846625766805
E10_s0,0,real,100,machine_learning,False,-0.017857142857142905
E10_s0,0,real,100,management,False,0.0
E10_s0,0,real,100,marketing,False,-0.017094017094017033
E10_s0,0,real,100,medical_genetics,True,-0.010000000000000009
E10_s0,0,real,100,miscellaneous,False,-0.03192848020434225
E10_s0,0,real,100,moral_disputes,False,0.01734104046242768
E10_s0,0,real,100,moral_scenarios,False,-0.3217877094972067
E10_s0,0,real,100,nutrition,False,-0.006535947712418277
E10_s0,0,real,100,philosophy,False,-0.048231511254019366
E10_s0,0,real,100,prehistory,False,-0.030864197530864113
E10_s0,0,real,100,professional_accounting,False,0.0
E10_s0,0,real,100,professional_law,False,-0.0853976531942634
E10_s0,0,real,100,professional_medicine,True,0.02941176470588236
E10_s0,0,real,100,professional_psychology,False,-0.019607843137254943
E10_s0,0,real,100,public_relations,False,-0.036363636363636376
E10_s0,0,real,100,security_studies,False,-0.21224489795918366
E10_s0,0,real,100,sociology,False,0.01492537313432829
E10_s0,0,real,100,us_foreign_policy,False,0.010000000000000009
E10_s0,0,real,100,virology,True,-0.0060240963855421326
E10_s0,0,real,100,world_religions,False,-0.023391812865497075
E11_s0,0,endogenous,100,abstract_algebra,False,-0.07999999999999996
E11_s0,0,endogenous,100,anatomy,True,-0.007407407407407418
E11_s0,0,endogenous,100,astronomy,False,-0.006578947368421018
E11_s0,0,endogenous,100,business_ethics,False,-0.029999999999999916
E11_s0,0,endogenous,100,clinical_knowledge,True,-0.01132075471698113
